CookerStat, GenerateAssetRegistry=0.042897, Initialize=1.175802, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId82507ACB4FDB257E6DE5C38995EAE7EC_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_70CD7A00424C5E1B4288F683FC60D6BB__1_0_13123_0, StartTime=2022.04.15-16.12.26, HierarchicalDDC=, DataSize=347, Duration=7.294700, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId36F5059E49C7A7A9FB57599D7AB61999_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_25C3A3664B2D4730E36552891A741570__1_0_13123_0, StartTime=2022.04.15-16.12.26, HierarchicalDDC=, DataSize=347, Duration=8.445498, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId46A2AE944B334C4B64100E9D0DF13C0B_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B303A5694018A827B26D428C3CF1F740__1_0_13123_0, StartTime=2022.04.15-16.12.26, HierarchicalDDC=, DataSize=451, Duration=9.076099, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId7F18036B45CCA4056D0FB5A5DE426CFF_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9FE7E73446B68979466E36BEABBDC3E1__1_0_13123_0, StartTime=2022.04.15-16.12.26, HierarchicalDDC=, DataSize=423, Duration=9.601898, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionIdB0985A444A6074A4FA3B978CC22FB0FC_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E19C5CB9468649D3FD222B9F5A2DDCAC__1_0_13123_0, StartTime=2022.04.15-16.12.26, HierarchicalDDC=, DataSize=347, Duration=7.587202, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId82507ACB4FDB257E6DE5C38995EAE7EC_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2E0ECEC74644A1C19439049EF9F60D70__1_0_13123_0, StartTime=2022.04.15-16.12.26, HierarchicalDDC=, DataSize=347, Duration=6.821502, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId36F5059E49C7A7A9FB57599D7AB61999_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AAB2DFE146A7D82694E1BF8563CB0CFC__1_0_13123_0, StartTime=2022.04.15-16.12.26, HierarchicalDDC=, DataSize=347, Duration=8.979299, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId82507ACB4FDB257E6DE5C38995EAE7EC_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0B44B16C41A7A0115C018493D4AFF565__1_0_13123_0, StartTime=2022.04.15-16.12.26, HierarchicalDDC=, DataSize=347, Duration=8.628800, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId7F18036B45CCA4056D0FB5A5DE426CFF_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3DA4F2E14298C670BCA62583A0ED81E4__1_0_13123_0, StartTime=2022.04.15-16.12.30, HierarchicalDDC=, DataSize=409, Duration=8.063901, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId36F5059E49C7A7A9FB57599D7AB61999_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EEF6DD154B4052C3228029B98C9434B1__1_0_13123_0, StartTime=2022.04.15-16.12.30, HierarchicalDDC=, DataSize=347, Duration=8.007400, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId82507ACB4FDB257E6DE5C38995EAE7EC_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0D7739AE481BD0144697E0BC12EBAFE4__1_0_13123_0, StartTime=2022.04.15-16.12.30, HierarchicalDDC=, DataSize=409, Duration=7.725798, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
